=== Meter1 started at 2025-10-31 22:44:51 ===

D:\minor\minor-project\meters\meter_sim.py:88: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  self.client = mqtt.Client(client_id=f"meter_{meter_id}")
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Starting residential meter simulation
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 1: 984.72W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 2: 1100.05W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 3: 991.67W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 4: 911.03W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 5: 1023.87W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 6: 1175.53W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 7: 990.08W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 8: 987.26W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 9: 990.06W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 10: 970.87W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 11: 996.58W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 12: 1067.07W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 13: 1046.36W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 14: 1108.75W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 15: 1031.92W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 16: 965.65W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 17: 1057.0W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 18: 1046.03W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 19: 1094.75W
